language_code,script,lemma,ipa,romanization,part_of_speech,register,politeness_level,sense_label,example_l2,example_l1,syllable_breakdown,pitch_pattern,articulation_notes,drill_steps,audio_asset_url,tags,is_default,concept_key
"es-ES","hola","hola","","hola","expression","neutral","neutral","greeting","Hola, mucho gusto","Hello, nice to meet you","","","","[]","","[]","true","GREET_HELLO_BASIC"
"es-ES","adiós","adiós","","adios","expression","neutral","neutral","goodbye","Adiós, nos vemos luego","Goodbye, see you later","","","","[]","","[]","true","GREET_GOODBYE_BASIC"
"es-ES","gracias","gracias","","gracias","expression","neutral","neutral","gratitude","Muchas gracias por tu ayuda","Thank you very much for your help","","","","[]","","[]","true","GREET_THANK_YOU"
"es-ES","sí","sí","","si","expression","neutral","neutral","yes","Sí, entiendo","Yes, I understand","","","","[]","","[]","true","GREET_YES"
"es-ES","no","no","","no","expression","neutral","neutral","no","No, eso no es correcto","No, that is not correct","","","","[]","","[]","true","GREET_NO"
"es-ES","lo siento","lo siento","","lo siento","expression","neutral","neutral","apology","Lo siento, llegué tarde","Sorry, I arrived late","","","","[]","","[]","true","GREET_SORRY"
"es-ES","vale","vale","","vale","expression","informal","neutral","okay","Vale, vamos","Okay, let's go","","","","[]","","[]","true","GREET_OK"
"es-ES","por favor","por favor","","por favor","expression","neutral","neutral","please","Por favor, espera un momento","Please wait a moment","","","","[]","","[]","true","GREET_PLEASE"
"es-ES","me llamo...","me llamo...","","me llamo","expression","neutral","neutral","self-intro","Me llamo Carlos","My name is Carlos","","","","[]","","[]","true","INTRO_MY_NAME"
"es-ES","¿Cómo te llamas?","¿Cómo te llamas?","","como te llamas","expression","neutral","neutral","ask-name","¿Cómo te llamas?","What is your name?","","","","[]","","[]","true","INTRO_WHATS_YOUR_NAME"
"es-ES","¿De dónde eres?","¿De dónde eres?","","de donde eres","expression","neutral","neutral","where-from","¿De dónde eres?","Where are you from?","","","","[]","","[]","true","ORIGIN_WHERE_FROM"
"es-ES","soy de...","soy de...","","soy de","expression","neutral","neutral","I-am-from","Soy de México","I am from Mexico","","","","[]","","[]","true","ORIGIN_I_AM_FROM"
"es-ES","estoy bien","estoy bien","","estoy bien","expression","neutral","neutral","feel-good","Hoy estoy bien","Today I am fine","","","","[]","","[]","true","FEEL_GOOD"
"es-ES","no me siento muy bien","no me siento muy bien","","no me siento muy bien","expression","neutral","neutral","feel-bad","Hoy no me siento muy bien","Today I don't feel very well","","","","[]","","[]","true","FEEL_NOT_GOOD"
"es-ES","familia","familia","","familia","noun","neutral","neutral","family","Mi familia vive aquí","My family lives here","","","","[]","","[]","true","FAMILY_FAMILY"
"es-ES","madre","madre","","madre","noun","neutral","neutral","mother","Mi madre trabaja mucho","My mother works a lot","","","","[]","","[]","true","FAMILY_MOTHER"
"es-ES","padre","padre","","padre","noun","neutral","neutral","father","Mi padre cocina muy bien","My father cooks very well","","","","[]","","[]","true","FAMILY_FATHER"
"es-ES","amigo","amigo","","amigo","noun","neutral","neutral","friend","Él es mi mejor amigo","He is my best friend","","","","[]","","[]","true","FAMILY_FRIEND"
"es-ES","hoy","hoy","","hoy","noun","neutral","neutral","today","Hoy hace buen tiempo","Today the weather is nice","","","","[]","","[]","true","TIME_TODAY"
"es-ES","mañana","mañana","","manana","noun","neutral","neutral","tomorrow","Mañana nos vemos","We will see each other tomorrow","","","","[]","","[]","true","TIME_TOMORROW"
"es-ES","ayer","ayer","","ayer","noun","neutral","neutral","yesterday","Ayer llovió mucho","It rained a lot yesterday","","","","[]","","[]","true","TIME_YESTERDAY"
"es-ES","ahora","ahora","","ahora","adverb","neutral","neutral","now","Ahora estoy ocupado","Right now I am busy","","","","[]","","[]","true","TIME_NOW"
"es-ES","casa","casa","","casa","noun","neutral","neutral","home","Mi casa está cerca del centro","My house is near downtown","","","","[]","","[]","true","PLACE_HOME"
"es-ES","trabajo","trabajo","","trabajo","noun","neutral","neutral","workplace","Voy al trabajo en metro","I go to work by subway","","","","[]","","[]","true","PLACE_WORK"
"es-ES","escuela","escuela","","escuela","noun","neutral","neutral","school","La escuela está lejos","The school is far away","","","","[]","","[]","true","PLACE_SCHOOL"
"es-ES","mercado","mercado","","mercado","noun","neutral","neutral","market","Este mercado es muy grande","This market is very big","","","","[]","","[]","true","PLACE_MARKET"
"es-ES","ir","ir","","ir","verb","neutral","neutral","go","Tengo que ir al banco","I have to go to the bank","","","","[]","","[]","true","VERB_GO"
"es-ES","venir","venir","","venir","verb","neutral","neutral","come","¿Puedes venir mañana?","Can you come tomorrow?","","","","[]","","[]","true","VERB_COME"
"es-ES","comer","comer","","comer","verb","neutral","neutral","eat","Vamos a comer","Let's go eat","","","","[]","","[]","true","VERB_EAT"
"es-ES","beber","beber","","beber","verb","neutral","neutral","drink","Quiero beber agua","I want to drink water","","","","[]","","[]","true","VERB_DRINK"
"es-ES","hablar","hablar","","hablar","verb","neutral","neutral","speak","¿Hablas español?","Do you speak Spanish?","","","","[]","","[]","true","VERB_SPEAK"
"es-ES","entender","entender","","entender","verb","neutral","neutral","understand","No entiendo muy bien","I don't understand very well","","","","[]","","[]","true","VERB_UNDERSTAND"
"es-ES","gustar","gustar","","gustar","verb","neutral","neutral","like","Me gusta la comida tailandesa","I like Thai food","","","","[]","","[]","true","VERB_LIKE"
"es-ES","querer","querer","","querer","verb","neutral","neutral","want","Quiero aprender más","I want to learn more","","","","[]","","[]","true","VERB_WANT"
"es-ES","yo","yo","","yo","pronoun","neutral","neutral","I","Yo vivo en Bangkok","I live in Bangkok","","","","[]","","[]","true","PRONOUN_I"
"es-ES","tú","tú","","tu","pronoun","informal","neutral","you","¿Tú dónde vives?","Where do you live?","","","","[]","","[]","true","PRONOUN_YOU"
"es-ES","él","él","","el","pronoun","neutral","neutral","he","Él trabaja mucho","He works a lot","","","","[]","","[]","true","PRONOUN_HE"
"es-ES","nosotros","nosotros","","nosotros","pronoun","neutral","neutral","we","Nosotros estudiamos español","We study Spanish","","","","[]","","[]","true","PRONOUN_WE"
"es-ES","ellos","ellos","","ellos","pronoun","neutral","neutral","they","Ellos son mis amigos","They are my friends","","","","[]","","[]","true","PRONOUN_THEY"
"es-ES","correr","correr","","correr","verb","neutral","neutral","run","Corro todas las mañanas","I run every morning","","","","[]","","[]","true","RUN_PHYSICAL_MOVE"
"es-ES","calor","calor","","calor","noun","neutral","neutral","hot-weather","Hoy hace mucho calor","Today it is very hot","","","","[]","","[]","true","WEATHER_HOT"
"es-ES","girar a la izquierda","girar a la izquierda","","girar a la izquierda","verb","neutral","neutral","turn-left","Gira a la izquierda en la esquina","Turn left at the corner","","","","[]","","[]","true","DIRECTION_TURN_LEFT"
